player_name,1st_serve_in_percent,1st_serve_won_percent,2nd_serve_won_percent,1st_return_won_percent,2nd_return_won_percent,g_i,f_i
Daniil Medvedev,0.61,0.75,0.52,0.31,0.54,0.39585210000000004,0.6603
Carlos Alcaraz,0.65,0.71,0.55,0.34,0.53,0.41092130000000004,0.6539999999999999
Nicolas Jarry,0.64,0.74,0.53,0.26,0.46,0.33465400000000006,0.6644
Lorenzo Musetti,0.64,0.69,0.51,0.3,0.51,0.3783867000000001,0.6252
Hubert Hurkacz,0.64,0.76,0.52,0.27,0.48,0.34838670000000005,0.6736
Jannik Sinner,0.59,0.73,0.54,0.32,0.53,0.3983867000000001,0.6521
Quentin Halys,0.6,0.77,0.47,0.25,0.46,0.32838670000000003,0.6499999999999999
Maximilian Marterer,0.63,0.7,0.53,0.24,0.45,0.3183867,0.6371
Daniel Elahi Galan,0.63,0.69,0.49,0.29,0.49,0.36465400000000003,0.616
Alexander Bublik,0.58,0.77,0.45,0.28,0.46,0.34718860000000007,0.6356
Mikael Ymer,0.68,0.64,0.48,0.32,0.51,0.3909213,0.5888
Liam Broady,0.62,0.66,0.49,0.29,0.48,0.3609213,0.5954
Denis Shapovalov,0.59,0.76,0.51,0.28,0.48,0.354654,0.6575
Guido Pella,0.65,0.58,0.52,0.27,0.51,0.35958480000000004,0.5589999999999999
Roman Safiullin,0.63,0.74,0.52,0.28,0.51,0.36585210000000007,0.6586000000000001
David Goffin,0.58,0.71,0.5,0.31,0.52,0.3883867000000001,0.6217999999999999
Andrey Rublev,0.61,0.75,0.51,0.3,0.53,0.38585210000000003,0.6564000000000001
Stan Wawrinka,0.58,0.74,0.54,0.3,0.49,0.3709213,0.656
Novak Djokovic,0.65,0.74,0.56,0.34,0.55,0.4183867000000001,0.677
Jiri Lehecka,0.64,0.7,0.51,0.28,0.47,0.35092130000000005,0.6315999999999999
Tommy Paul,0.61,0.71,0.52,0.3,0.51,0.3783867000000001,0.6359
Christopher Eubanks,0.68,0.74,0.51,0.23,0.44,0.30838670000000007,0.6664
Christopher O'Connell,0.63,0.73,0.49,0.26,0.47,0.33838670000000004,0.6412
Marton Fucsovics,0.58,0.7,0.51,0.31,0.5,0.3809213,0.6202
Alejandro Davidovich Fokina,0.67,0.66,0.51,0.32,0.51,0.3909213,0.6105
Holger Rune,0.63,0.72,0.53,0.29,0.59,0.40198100000000003,0.6496999999999999
Laslo Djere,0.6,0.71,0.5,0.29,0.49,0.36465400000000003,0.626
Stefanos Tsitsipas,0.62,0.76,0.55,0.29,0.49,0.36465400000000003,0.6802
Frances Tiafoe,0.61,0.73,0.52,0.27,0.5,0.35585210000000006,0.6481
Grigor Dimitrov,0.62,0.75,0.51,0.3,0.5,0.37465400000000004,0.6587999999999999
Alexander Zverev,0.66,0.74,0.5,0.3,0.51,0.3783867000000001,0.6584
Matteo Berrettini,0.63,0.78,0.53,0.28,0.46,0.34718860000000007,0.6875
