match_id,player1,player2,player1_prematch,player2_prematch,p0,q0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,92.34,7.66,0.6650546,0.5849454
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,61.98,38.02,0.6349362,0.6150638
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,87.56,12.44,0.6649891,0.5850109
2023-wimbledon-1314,Alexander Bublik,Maximilian Marterer,87.56,12.44,0.6649891,0.5850109
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,28.57,71.43,0.6051046,0.6448954
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,76.91,23.09,0.6450198,0.6049802
2023-wimbledon-1311,Guido Pella,Roman Safiullin,30.77,69.23,0.6050581,0.6449419
2023-wimbledon-1313,Andrey Rublev,David Goffin,83.33,16.67,0.6550345,0.5949655
2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,3.85,96.15,0.5650087,0.6849913
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul,44.44,55.56,0.6248963,0.6251037
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,37.74,63.64,0.6150308,0.6349692
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,65.28,34.72,0.6350285,0.6149715
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,81.82,18.18,0.6549306,0.5950694
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,28.57,71.43,0.6051046,0.6448954
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,16.67,83.33,0.5949655,0.6550345
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,55.56,44.44,0.6251037,0.6248963
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,55.56,44.44,0.6251037,0.6248963
2023-wimbledon-1407,Andrey Rublev,Alexander Bublik,55.56,44.44,0.6251037,0.6248963
2023-wimbledon-1406,Roman Safiullin,Denis Shapovalov,37.74,63.64,0.6150308,0.6349692
2023-wimbledon-1405,Jannik Sinner,Daniel Elahi Galan,96.15,3.85,0.6849913,0.5650087
2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,4.76,95.24,0.574945,0.675055
2023-wimbledon-1403,Daniil Medvedev,Jiri Lehecka,80,20,0.6549645,0.5950355
2023-wimbledon-1404,Christopher Eubanks,Stefanos Tsitsipas,26.67,73.33,0.6050838,0.6449162
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,63.64,36.36,0.6350393,0.6149607
2023-wimbledon-1401,Carlos Alcaraz,Matteo Berrettini,71.43,28.57,0.6448954,0.6051046
2023-wimbledon-1503,Jannik Sinner,Roman Safiullin,87.56,12.44,0.6649891,0.5850109
2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,6.63,93.37,0.5750489,0.6749511
2023-wimbledon-1502,Daniil Medvedev,Christopher Eubanks,85.75,14.25,0.6550009,0.5949991
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,80,20,0.6549645,0.5950355
2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,16.67,83.33,0.5949655,0.6550345
2023-wimbledon-1601,Carlos Alcaraz,Daniil Medvedev,73.33,26.67,0.6449162,0.6050838
